prop,gCF,gCF_N,gN,ML_topology,gDF1,gDF1_N,Limn_Cymo,gDF2,gDF2_N,Limn_V_S,gDFP,gDFP_N,gN,Polyphyly,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,Length
90,15.91,7,44,0.159090909,2.27,1,0.022727273,15.91,7,0.159090909,65.91,29,44,0.659090909,33.69,739.55,32.84,728.46,33.47,745.7,2213.71,100,0.00421059
80,13.89,10,72,0.138888889,0,0,0,15.28,11,0.152777778,70.83,51,72,0.708333333,33.94,808.6,32.3,778.81,33.76,824.14,2411.55,100,0.00421059
70,12.62,13,103,0.126213592,1.94,2,0.019417476,12.62,13,0.126213592,72.82,75,103,0.72815534,33.55,824.76,32.81,810.39,33.63,839.93,2475.08,100,0.00421059
60,11.43,16,140,0.114285714,2.14,3,0.021428571,10,14,0.1,76.43,107,140,0.764285714,33.89,854.18,32.29,820.64,33.82,870.6,2545.42,100,0.00421059
50,10.16,19,187,0.101604278,3.21,6,0.032085561,8.56,16,0.085561497,78.07,146,187,0.780748663,33.41,876.9,32.63,865.69,33.96,907.67,2650.26,100,0.00421059
40,9.05,22,243,0.090534979,3.7,9,0.037037037,6.58,16,0.065843621,80.66,196,243,0.806584362,33.52,879.14,32.83,867.44,33.65,898.74,2645.32,100,0.00421059
30,8.5,25,294,0.085034014,4.76,14,0.047619048,7.82,23,0.078231293,78.91,232,294,0.789115646,33.58,843.49,32.66,825.32,33.77,860.9,2529.71,100,0.00421059
20,8.05,28,348,0.08045977,5.17,18,0.051724138,6.9,24,0.068965517,79.89,278,348,0.798850575,33.3,857.79,32.53,841.64,34.17,886.62,2586.05,100,0.00421059
10,7,28,400,0.07,5,20,0.05,6,24,0.06,82,328,400,0.82,33.73,777.92,32.34,752.36,33.94,793.98,2324.26,100,0.00421059
0,6.7,29,433,0.066974596,5.77,25,0.057736721,6.24,27,0.062355658,81.29,352,433,0.812933025,33.44,866.08,32.54,841.26,34.02,885.44,2592.78,100,0.00421059
